Country name,Regional indicator,Ladder score,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Singapore,Southeast Asia,6.565,2.022,1.565,0.935,0.856,0.164,0.522
Finland,Western Europe,7.736,1.749,1.783,0.824,0.986,0.110,0.502
Denmark,Western Europe,7.521,1.825,1.748,0.820,0.955,0.150,0.488
Switzerland,Western Europe,6.935,1.870,1.622,0.883,0.889,0.156,0.468
Sweden,Western Europe,7.345,1.783,1.698,0.889,0.952,0.170,0.467
New Zealand,North America & ANZ,6.952,1.698,1.712,0.815,0.861,0.167,0.429
Norway,Western Europe,7.262,1.902,1.711,0.863,0.962,0.168,0.425
Luxembourg,Western Europe,7.122,2.028,1.558,0.864,0.931,0.117,0.397
Hong Kong SAR of China,East Asia,5.491,1.790,1.410,0.948,0.674,0.116,0.386
Ireland,Western Europe,6.889,1.988,1.659,0.823,0.906,0.179,0.382
Estonia,Central & Eastern Europe,6.417,1.650,1.716,0.642,0.902,0.128,0.378
Germany,Western Europe,6.753,1.785,1.625,0.776,0.858,0.148,0.351
Netherlands,Western Europe,7.306,1.822,1.667,0.844,0.860,0.186,0.344
Tajikistan,Commonwealth of Independent States,5.411,0.914,1.555,0.658,,0.085,0.342
Canada,North America & ANZ,6.803,1.749,1.647,0.832,0.813,0.168,0.323
United Kingdom,Western Europe,6.728,1.725,1.562,0.779,0.872,0.211,0.318
Belgium,Western Europe,6.910,1.783,1.646,0.852,0.895,0.119,0.306
Australia,North America & ANZ,6.974,1.767,1.647,0.841,0.857,0.164,0.285
Austria,Western Europe,6.810,1.791,1.592,0.814,0.856,0.179,0.280
Nicaragua,Latin America & Caribbean,6.330,1.084,1.470,0.646,0.912,0.103,0.271
El Salvador,Latin America & Caribbean,6.492,1.222,1.228,0.559,0.955,0.054,0.264
France,Western Europe,6.593,1.733,1.535,0.832,0.743,0.099,0.264
Tanzania,Sub-Saharan Africa,3.800,0.847,0.908,0.411,0.858,0.153,0.243
Benin,Sub-Saharan Africa,4.357,0.855,0.228,0.357,0.679,0.092,0.238
United Arab Emirates,Middle East & North Africa,6.759,1.812,1.294,0.659,0.934,0.165,0.235
Algeria,Middle East & North Africa,5.571,1.315,1.363,0.782,0.522,0.057,0.219
Burkina Faso,Sub-Saharan Africa,4.383,0.724,0.828,0.296,0.671,0.142,0.218
Libya,Middle East & North Africa,5.820,1.247,1.309,0.549,0.724,0.111,0.214
Uzbekistan,Commonwealth of Independent States,6.193,1.179,1.615,0.654,0.977,0.195,0.208
Japan,East Asia,6.147,1.678,1.550,0.921,0.746,0.014,0.200
Uruguay,Latin America & Caribbean,6.661,1.554,1.654,0.523,0.913,0.078,0.197
Mauritania,Sub-Saharan Africa,4.542,1.023,0.919,0.516,0.454,0.113,0.195
Israel,Middle East & North Africa,7.234,1.695,1.743,0.824,0.740,0.144,0.193
Somalia,Sub-Saharan Africa,4.347,0.535,0.877,0.046,0.916,0.206,0.192
Saudi Arabia,Middle East & North Africa,6.600,1.743,1.566,0.714,0.915,0.105,0.187
Taiwan Province of China,East Asia,6.669,1.730,1.583,0.817,0.760,0.057,0.187
Dominican Republic,Latin America & Caribbean,5.846,1.457,1.500,0.615,0.866,0.063,0.186
Spain,Western Europe,6.466,1.690,1.685,0.894,0.734,0.112,0.180
Azerbaijan,Commonwealth of Independent States,4.875,1.428,1.030,0.707,0.785,0.076,0.179
Viet Nam,Southeast Asia,6.352,1.278,1.533,0.631,1.012,0.039,0.174
Mozambique,Sub-Saharan Africa,5.190,0.559,1.131,0.124,0.813,0.127,0.173
Iceland,Western Europe,7.515,1.799,1.840,0.873,0.971,0.201,0.173
Georgia,Commonwealth of Independent States,5.400,1.444,1.275,0.482,0.844,0.000,0.172
Poland,Central & Eastern Europe,6.673,1.666,1.595,0.630,0.790,0.021,0.169
Bahrain,Middle East & North Africa,6.030,1.752,1.391,0.609,0.907,0.148,0.167
Kuwait,Middle East & North Africa,6.629,1.691,1.481,0.766,0.934,0.143,0.167
Comoros,Sub-Saharan Africa,3.754,0.835,0.501,0.428,0.260,0.117,0.164
Jordan,Middle East & North Africa,4.310,1.158,1.202,0.573,0.700,0.051,0.164
Lao PDR,Southeast Asia,5.301,1.122,1.010,0.493,0.916,0.145,0.164
Myanmar,Southeast Asia,4.321,0.975,1.144,0.446,0.569,0.322,0.163
